id,creation_date,tags,answer_count,comment_count,favorite_count,view_count,score
66078987,2021-02-06 16:12:13.110000+00:00,drupal|twig|drupal-8|drupal-theming|drupal-commerce,0,0,,25,0
66008284,2021-02-02 10:55:33.843000+00:00,drupal|drupal-8,1,0,,26,0
66102926,2021-02-08 13:49:14.360000+00:00,docker|drupal|docker-compose|dockerfile,0,0,,29,0
66103284,2021-02-08 14:10:28.387000+00:00,drupal|twig,1,0,,35,0
66156319,2021-02-11 14:08:28.830000+00:00,drupal|drupal-7,1,0,,35,0
66010727,2021-02-02 13:30:16.463000+00:00,drupal|drag-and-drop|drupal-webform,1,0,,36,0
65942934,2021-01-28 18:13:13.257000+00:00,php|drupal|twig,0,0,1.0,43,0
66020223,2021-02-03 01:59:08.010000+00:00,drupal|drupal-8|drupal-views,1,0,,50,0
66104277,2021-02-08 15:13:55.147000+00:00,drupal|drupal-8|drupal-views,1,0,,51,3
66158307,2021-02-11 16:06:08.010000+00:00,twitter-bootstrap|drupal|responsive-design|drupal-8,0,0,,52,0
66171503,2021-02-12 12:00:04.067000+00:00,email|drupal|user-registration,1,0,,52,0
66119557,2021-02-09 13:03:53.617000+00:00,drupal|graphql,1,0,,60,0
66258524,2021-02-18 10:54:55.683000+00:00,drupal|migration|backup|drupal-9,1,0,,61,0
65991487,2021-02-01 10:59:48.773000+00:00,drupal|drupal-7|drupal-modules,1,0,,82,0
66031948,2021-02-03 16:45:29.237000+00:00,ajax|forms|drupal|drupal-8,1,0,,392,0
65980453,2021-01-31 14:48:09.040000+00:00,docker|drupal|drush,0,0,,149,0
66238035,2021-02-17 08:14:30.887000+00:00,drupal|drupal-8|drupal-modules,1,0,,442,1
66049654,2021-02-04 16:21:43.277000+00:00,drupal|drupal-9,1,0,,252,1
65972947,2021-01-30 20:43:02.770000+00:00,php|drupal|drupal-7,0,1,,23,0
66192707,2021-02-14 05:28:08.167000+00:00,drupal|module|scheduler|drupal-8,1,1,,35,2
66015014,2021-02-02 17:50:09.940000+00:00,drupal|google-analytics|drupal-8|drupal-modules,1,1,,43,1
66278512,2021-02-19 13:30:32.490000+00:00,nginx|drupal|centos|amp-html,1,1,,44,0
66094918,2021-02-08 01:39:53.123000+00:00,html|drupal|twig|drupal-8,1,1,,49,0
66068255,2021-02-05 17:57:49.547000+00:00,mysql|drupal|proxysql,1,1,,71,0
65952382,2021-01-29 10:04:45.343000+00:00,drupal|twig,0,2,1.0,28,0
66275269,2021-02-19 09:51:22.983000+00:00,css|templates|drupal|twig,0,2,,40,0
66180292,2021-02-12 23:22:24.610000+00:00,ubuntu|drupal|permissions|chmod,0,2,,80,0
66054365,2021-02-04 21:51:21.713000+00:00,docker|nginx|drupal|docker-compose,1,2,,1138,1
66187881,2021-02-13 17:23:08.427000+00:00,php|drupal|module,0,2,,156,0
66107511,2021-02-08 18:44:11.300000+00:00,php|drupal|drupal-8,0,3,,20,0
66245966,2021-02-17 16:25:44.997000+00:00,php|drupal|drupal-8,1,3,,282,0
65960705,2021-01-29 19:34:56.107000+00:00,apache|nginx|drupal|bitnami,0,3,,36,0
66279361,2021-02-19 14:24:12.173000+00:00,php|mysql|drupal|drupal-7,1,3,,37,0
66130306,2021-02-10 02:58:29.193000+00:00,azure|drupal|azure-web-app-service,0,3,,40,1
66249990,2021-02-17 21:09:32.020000+00:00,drupal|gatsby|gatsby-image,0,4,1.0,55,1
66011876,2021-02-02 14:39:03.813000+00:00,drupal|drupal-theming|drupal-themes|drupal-9,1,7,,172,1
66874382,2021-03-30 15:57:31.060000+00:00,drupal|drupal-webform,0,0,,12,0
66660375,2021-03-16 17:32:10.550000+00:00,drupal|seo|meta-tags|meta,1,0,,16,0
66690242,2021-03-18 11:32:49.537000+00:00,caching|drupal|drupal-6|php-7.3|drupal-cache,0,0,,16,0
66763378,2021-03-23 12:43:17.163000+00:00,drupal|drupal-8|drupal-menu,0,0,,19,0
66652256,2021-03-16 09:21:09.493000+00:00,php|drupal|drupal-7|visitors,0,0,1.0,20,0
66989938,2021-04-07 16:09:24.660000+00:00,regex|drupal|fail2ban,1,0,,32,-1
66721227,2021-03-20 11:51:31.067000+00:00,drupal|drupal-8,1,0,,34,0
66788103,2021-03-24 19:33:03.963000+00:00,ionic-framework|drupal|ionic4,1,0,,36,0
66870020,2021-03-30 11:18:27.893000+00:00,drupal|drupal-8|drupal-9,1,0,,37,0
66701363,2021-03-19 01:24:59.007000+00:00,mysql|docker|drupal,2,0,,47,0
66913138,2021-04-02 00:37:17.917000+00:00,javascript|drupal|content-management-system|headless-cms,2,0,,47,0
66880873,2021-03-31 02:33:41.550000+00:00,drupal|solr,0,0,,51,0
66846219,2021-03-28 21:06:42.180000+00:00,javascript|jquery|ajax|drupal,1,0,,54,0
66755415,2021-03-22 23:56:54.023000+00:00,php|drupal|output-buffering,0,0,,62,0
66810259,2021-03-26 02:35:21.913000+00:00,drupal|drupal-9,1,0,,62,1
66822876,2021-03-26 18:58:25.800000+00:00,docker|nginx|drupal,1,0,,62,0
66774503,2021-03-24 03:51:04.403000+00:00,javascript|d3.js|drupal|modal-dialog,0,0,,66,0
66676742,2021-03-17 16:00:14.167000+00:00,drupal|composer-php,1,0,,150,1
66955065,2021-04-05 15:00:34.223000+00:00,php|drupal|twig|slick.js,0,1,,29,0
66669896,2021-03-17 09:02:46.157000+00:00,nginx|ssl|drupal,1,1,,43,0
66971810,2021-04-06 15:36:50.303000+00:00,javascript|drupal|addeventlistener|ckeditor4.x|drupal-9,0,1,,48,0
66891175,2021-03-31 15:55:06.990000+00:00,docker|drupal|composer-php,1,1,,91,-1
66814278,2021-03-26 09:33:38.580000+00:00,php|sqlite|pdo|drupal,0,1,,105,1
66701243,2021-03-19 01:06:25.230000+00:00,drupal|drupal-7|recaptcha,0,2,,20,0
66714185,2021-03-19 18:59:47.617000+00:00,drupal|drupal-9,0,3,1.0,23,1
66730955,2021-03-21 09:57:57.177000+00:00,drupal|drupal-modules,0,3,,23,0
66797342,2021-03-25 10:16:03.247000+00:00,drupal|amazon-rds|amazon-ecs,0,3,,28,0
66909027,2021-04-01 17:24:12.423000+00:00,redirect|drupal|internals,1,3,,28,0
66689903,2021-03-18 11:10:09.643000+00:00,php|drupal|composer-php,1,3,,34,1
66673429,2021-03-17 12:50:16.997000+00:00,drupal|ddev,1,4,,44,0
66656597,2021-03-16 13:52:57.363000+00:00,php|drupal|drupal-7,1,8,,38,0
67794307,2021-06-01 18:32:39.760000+00:00,drupal|phpunit,0,0,,8,0
67753995,2021-05-29 17:12:15.547000+00:00,php|drupal,0,0,,14,0
67875039,2021-06-07 16:05:43.600000+00:00,drupal|twig|drupal-8,0,0,,14,0
67824669,2021-06-03 15:46:31.087000+00:00,drupal|twig|taxonomy|templating|media-library,1,0,,16,0
67703323,2021-05-26 10:43:24.370000+00:00,elasticsearch|drupal|drupal-modules|drupal-9,0,0,,17,0
